angDist,_RAJ2000,_DEJ2000,GaiaEDR3,RA_ICRS,DE_ICRS,GLON,GLAT,Plx,GMAG,Gmag,BP-RP,E(BP/RP)c,pmRA,pmDE,RUWE,Rpm,f_Plx,f_pm,_RA.icrs,_DE.icrs,_RAJ2000.1,_DEJ2000.1,SDSS,PMF,Teff,e_Teff,logg,e_logg,pMS,pELM,Sloan,SimbadName,_RA,_DE,Type
0.16866,359.9150536231576,29.1319990301745,2855172732282598144,359.91505362316,29.13199903017,109.53370926476836,-32.38908351156943,0.0631769610545695,,16.94318,-0.05858612,,6.772317908950376,-0.1385023280812554,0.96332884,11.097320804898876,0,1,359.91505362316,29.13199903017,359.915,29.132,235939.60+290755.2,2803-54368-0380,13617,207,3.725,0.044,0.59,0.25,Sloan,SDSS J235939.60+290755.1,359.915,29.132,Low Mass White Dwarfs
0.050782,259.9592928774641,42.368874820664,1348118357938699648,259.95929287746,42.36887482066,67.48413235257814,34.2742998790964,0.1458027697262211,,15.976786,-0.22055244,,-7.501479380898125,-10.247465364979398,1.070287,11.495755313040494,0,1,259.95929287746,42.36887482066,259.9592917,42.3688889,171950.23+422208.0,2247-53857-0624,18735,390,4.244,0.066,0.54,0.4,Sloan,SDSS J171950.23+422208.1,259.95929,42.36889,Low Mass White Dwarfs
0.05668,209.6892230759246,35.2619268156297,1482926450666449920,209.68922307592,35.26192681563,66.59271375113617,73.4992189292206,0.034975591952145,,17.958967,-0.08759689,,-1.8359707076843024,-3.5604717929400405,0.95259124,10.97250231243686,0,1,209.68922307592,35.26192681563,209.6892083,35.2619167,135845.41+351542.9,1838-53467-0483,12356,198,3.618,0.05,0.43,0.29,Sloan,SDSS J135845.41+351542.9,209.68921,35.26192,Low Mass White Dwarfs
0.12851,246.6038199763257,16.3670601001497,4466495787154763008,246.60381997633,16.36706010015,32.34347776697673,39.30824016669161,0.0022481657787295,,17.194042,-0.06047249,,-1.5968631418679182,-3.40784200030593,0.9830791,10.071957910228612,0,1,246.60381997633,16.36706010015,246.6037917,16.3670833,162624.91+162201.5,2208-53880-0460,12274,135,3.519,0.035,0.51,0.31,Sloan,SDSS J162624.91+162201.5,246.60379,16.36708,Low Mass White Dwarfs
0.145838,333.0379828644378,-7.3249490651341,2619725923649948928,333.03798286444,-7.32494906513,53.14694661671561,-47.40086425765111,0.3095709811033507,1.9306345612902331,14.476833,-0.05891323,-0.0080400083967704,0.1611934576276572,-8.27764892772089,1.0663712,9.066780023003172,1,0,333.03798286444,-7.32494906513,333.0379583,-7.3249167,221209.11-071929.7,2309-54441-0526,12237,63,3.593,0.018,0.53,0.49,Sloan,SDSS J221209.11-071929.7,333.03796,-7.32492,Low Mass White Dwarfs
0.016005,262.3195466563792,26.7465004184118,4595082297634366592,262.31954665638,26.74650041841,50.05725954106652,28.95117268009136,0.0655892484530017,,17.176023,-0.13947868,,-2.797602527503656,-6.819465363297359,0.9934572,11.513656467531453,0,1,262.31954665638,26.74650041841,262.3195417,26.7465,172916.69+264447.4,2182-53905-0032,16195,358,3.847,0.06,0.55,0.34,Sloan,SDSS J172916.69+264447.5,262.31954,26.7465,Low Mass White Dwarfs
0.142968,111.6407898396869,16.2181560337194,3169452428683647360,111.64078983969,16.21815603372,202.09080558893768,14.940508854067328,0.1829939163388349,,16.438667,0.030435562,,7.776165071039955,-11.071643769901078,0.916815,12.095091799034918,0,1,111.64078983969,16.21815603372,111.64075,16.2181667,072633.78+161305.4,2713-54400-0345,15787,168,3.904,0.03,0.41,0.38,Sloan,SDSS J072633.78+161305.3,111.64075,16.21817,Low Mass White Dwarfs
0.025475,240.6684233890087,5.9134142902391,4449926799760503808,240.66842338901,5.91341429024,16.817178731201235,39.905082870230245,0.1160619708354258,,16.472729,-0.021541595,,0.2924729026023444,-7.070681106657847,1.0180377,10.721891059419733,0,1,240.66842338901,5.91341429024,240.6684167,5.9134167,160240.42+055448.3,2175-54612-0428,11357,55,3.615,0.018,0.44,0.42,Sloan,SDSS J160240.42+055448.3,240.66842,5.91342,Low Mass White Dwarfs
0.331848,208.8954698939345,44.113971703722,1502570604582750592,208.89546989393,44.11397170372,89.88662428946101,68.67208077771,0.3304616694259728,4.209071725311642,16.613466,0.31711006,-0.011260777016095,-0.7876244518807676,-20.25328371181553,0.97252464,13.14758427102893,1,0,208.89546989393,44.11397170372,208.8954167,44.1140556,135534.90+440650.6,1466-53083-0055,8076,15,4.739,0.079,0.49,0.46,Sloan,SDSS J135534.91+440650.6,208.89542,44.11406,Low Mass White Dwarfs
0.184362,85.5720675568754,62.0640261564329,286543798332392320,85.57206755688,62.06402615643,150.6946415261899,16.19736983002081,0.0754435548513871,,16.881943,-0.0014953613,,7.9127626602822625,-4.319858216023964,1.013938,11.656808241042516,0,1,85.57206755688,62.06402615643,85.5719583,62.0640278,054217.27+620350.5,2300-53682-0631,17811,329,4.014,0.055,0.58,0.47,Sloan,SDSS J054217.28+620350.5,85.57196,62.06403,Low Mass White Dwarfs
