angDist,_RAJ2000,_DEJ2000,GaiaEDR3,RA_ICRS,DE_ICRS,GLON,GLAT,Plx,GMAG,Gmag,BP-RP,E(BP/RP)c,pmRA,pmDE,RUWE,Rpm,f_Plx,f_pm,_RA.icrs,_DE.icrs,_RAJ2000,_DEJ2000,P-M-F,SDSSJ,SNg,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,E(B-V),PM,GLON,GLAT,Type,Sp,_RA,_DE
0.068898,166.2533767565978,2.5846579576603,3811557113243821440,166.2533767566,2.58465795766,252.3052534307533,54.63657865368643,1.1788826931669842,,18.654638,-0.4388981,,-6.823266074397556,4.228651023492854,1.0691038,13.17750094861687,0,1,166.2533767566,2.58465795766,166.253375,2.5846389,4741-55704-0614,110500.81+023504.78,24,18.113,0.018,18.897,0.018,18.897,0.018,19.28,0.022,19.67,0.097,0.043,8.7,252.3,54.6,DA,Sp,166.25337,2.58464
0.276601,166.4551342814087,2.7312709070049,3811582711248958080,166.45513428141,2.731270907,252.3837182118572,54.88165834932776,1.4508577222337806,,18.729885,-0.53186035,,-13.79374720703018,6.381320901210998,1.0542482,14.638861988425575,0,1,166.45513428141,2.731270907,166.4552083,2.73125,4741-55704-0650,110549.25+024352.55,25,18.11,0.023,18.506,0.016,19.006,0.018,19.319,0.02,19.788,0.102,0.043,15.6,252.4,54.9,DA,Sp,166.45521,2.73125
0.161968,170.5933821907954,7.4089277776825,3817631919282893184,170.5933821908,7.40892777768,251.87877135619337,61.10990835336697,0.17744549146465632,,16.903376,-0.3199501,,5.373865829550509,-13.716068996722932,0.92903274,12.744569941827315,0,1,170.5933821908,7.40892777768,170.593375,7.4089722,5369-56272-0171,112222.41+072432.30,57,16.691,0.016,16.69,0.026,17.099,0.017,17.403,0.018,17.673,0.02,0.048,11.6,251.9,61.1,sdB,Sp,170.59337,7.40897
0.040760,158.8032441962338,0.4580180783678,3807121923855410816,158.80324419623,0.45801807837,246.43209644500547,47.813789719681054,0.077646156029713,,16.089424,-0.115262985,,6.858754472605781,-10.989839016847396,0.9769342,11.651527443267913,0,1,158.80324419623,0.45801807837,158.80325,0.4580278,3833-55290-0690,103512.78+002728.99,75,16.238,0.019,15.941,0.015,16.224,0.015,16.468,0.013,16.724,0.025,0.06,11.3,246.4,47.8,sdB+MS,Sp,158.80325,0.45803
0.021203,210.6367111734624,0.0986892588644,3660503903717853056,210.63671117346,0.09868925886,338.1404246977836,58.02465194468066,0.4790845447847394,5.026091870851623,16.624031,-0.43642616,0.003131955316587165,-1.8990366153416227,-16.598559321861106,0.9597915,12.738502772648534,1,0,210.63671117346,0.09868925886,210.6367083,0.0986944,4037-55631-0810,140232.81+000555.33,53,16.098,0.011,16.39,0.02,16.867,0.014,17.234,0.014,17.553,0.025,0.039,18.5,338.1,58.0,sdOB,Sp,210.63671,0.09869
0.250040,211.438514096185,1.7385770305315,3661331668469980416,211.43851409618,1.73857703053,341.10978786698365,58.98720532848116,0.28299660037673763,3.034357752150644,15.775452,-0.3053255,2.721726815086978E-4,-15.414059641982874,-8.483173571799831,0.87940174,12.002304983645015,1,0,211.43851409619,1.73857703053,211.4385833,1.7385833,4033-55332-0267,140545.26+014418.98,57,15.597,0.017,15.587,0.021,16.013,0.014,16.339,0.017,16.58,0.013,0.03,13.9,341.1,59.0,sdB,Sp,211.43858,1.73858
0.042839,169.0681786056857,7.9257206031263,3818556264964286592,169.06817860569,7.92572060313,248.95417832717666,60.39524473819876,0.24027534582694038,,15.70878,-0.20175362,,-13.847201543770042,2.979393872664478,0.99268067,11.464725455391157,0,1,169.06817860569,7.92572060313,169.0681667,7.9257222,5369-56272-0500,111616.36+075532.62,66,15.386,0.014,15.533,0.015,15.918,0.023,16.176,0.018,16.318,0.013,0.036,18.2,249.0,60.4,sdB,Sp,169.06817,7.92572
0.128612,165.5644031373116,2.6761719569564,3808614407811403008,165.56440313731,2.67617195696,251.34362368105724,54.225257936585095,0.2044973481805588,,17.4688,-0.47472763,,-0.8468921498169321,-7.124811757979877,0.96273917,11.7478995068929,0,1,165.56440313731,2.67617195696,165.5644167,2.6761389,4732-55648-0982,110215.46+024034.18,37,16.832,0.025,17.233,0.014,17.736,0.013,18.071,0.018,18.45,0.034,0.03,11.3,251.3,54.2,He-sdO,Sp,165.56442,2.67614
0.288088,160.5897964164946,2.156678995994,3809272602959078016,160.58979641649,2.15667899599,246.33139978435284,50.27772339454176,1.3612981386811165,,19.587744,-0.3820629,,-17.989333671887284,8.936326179253012,0.8504999,16.102282855565754,0,1,160.58979641649,2.15667899599,160.589875,2.1566944,4733-55649-0470,104221.57+020924.14,16,19.196,0.037,19.39,0.019,19.742,0.024,20.105,0.034,20.147,0.14,0.036,22.7,246.3,50.3,DA,Sp,160.58987,2.15669
0.109736,165.2230692969675,3.7729992912449,3814942818784000000,165.22306929697,3.77299929124,249.5936678068663,54.76026658929752,0.003598039320634676,,17.119127,-0.29625893,,-17.262738646500004,-4.455523913331883,0.97473234,13.374695815990833,0,1,165.22306929697,3.77299929124,165.2230833,3.7729722,4771-55925-0345,110053.54+034622.78,46,16.535,0.015,16.954,0.011,17.385,0.016,17.624,0.016,17.846,0.025,0.038,16.1,249.6,54.8,sdO,Sp,165.22308,3.77297
