angDist,_RAJ2000,_DEJ2000,GaiaEDR3,RA_ICRS,DE_ICRS,GLON,GLAT,Plx,GMAG,Gmag,BP-RP,E(BP/RP)c,pmRA,pmDE,RUWE,Rpm,f_Plx,f_pm,_RA.icrs,_DE.icrs,_RAJ2000.1,_DEJ2000.1,P-M-F,SDSSJ,SNg,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,E(B-V),PM,GLON.1,GLAT.1,Type,Sp,_RA,_DE
0.757162,166.1087997319516,6.2751789786285,3816670907465131776,166.10879973195,6.27517897863,247.42887065457435,57.12057278893324,1.7936087670642116,,18.680386,-0.33577156,,-45.724791569675695,22.432857676471265,0.979719,17.215306191909242,0,1,166.10879973195,6.27517897863,166.109,6.2751111,1003-52641-0133,110426.16+061630.42,14,18.471,0.023,18.54,0.062,18.851,0.018,19.139,0.044,19.421,0.06,0.04,49.8,247.4,57.1,DA,Sp,166.109,6.27511
0.068898,166.2533767565978,2.5846579576603,3811557113243821440,166.2533767566,2.58465795766,252.3052534307533,54.63657865368643,1.1788826931669842,,18.654638,-0.4388981,,-6.823266074397556,4.228651023492854,1.0691038,13.17750094861687,0,1,166.2533767566,2.58465795766,166.253375,2.5846389,4741-55704-0614,110500.81+023504.78,24,18.113,0.018,18.897,0.018,18.897,0.018,19.28,0.022,19.67,0.097,0.043,8.7,252.3,54.6,DA,Sp,166.25337,2.58464
0.276601,166.4551342814087,2.7312709070049,3811582711248958080,166.45513428141,2.731270907,252.3837182118572,54.88165834932776,1.4508577222337806,,18.729885,-0.53186035,,-13.79374720703018,6.381320901210998,1.0542482,14.638861988425576,0,1,166.45513428141,2.731270907,166.4552083,2.73125,4741-55704-0650,110549.25+024352.55,25,18.11,0.023,18.506,0.016,19.006,0.018,19.319,0.02,19.788,0.102,0.043,15.6,252.4,54.9,DA,Sp,166.45521,2.73125
0.288088,160.5897964164946,2.156678995994,3809272602959078016,160.58979641649,2.15667899599,246.33139978435284,50.27772339454176,1.3612981386811165,,19.587744,-0.3820629,,-17.989333671887284,8.936326179253012,0.8504999,16.102282855565754,0,1,160.58979641649,2.15667899599,160.589875,2.1566944,4733-55649-0470,104221.57+020924.14,16,19.196,0.037,19.39,0.019,19.742,0.024,20.105,0.034,20.147,0.14,0.036,22.7,246.3,50.3,DA,Sp,160.58987,2.15669
0.196861,146.4626270386163,19.6703415720844,639520114978930944,146.46262703862,19.67034157208,212.6416390373534,47.00881512832478,1.3045164746042874,,19.44924,-0.25471497,,10.035380108958778,-3.3052001875853487,1.0326291,14.568723180305476,0,1,146.46262703862,19.67034157208,146.4625833,19.6703056,5783-56017-0772,094551.02+194013.18,17,19.193,0.025,19.301,0.023,19.64,0.023,19.887,0.034,20.234,0.096,0.021,18.7,212.6,47.0,DB,Sp,146.46258,19.67031
0.041029,142.1303870823047,24.2774751303027,645259840553567104,142.1303870823,24.2774751303,204.64252124940293,44.50826305148125,1.0921804701286713,,19.234585,-0.27218628,,-7.362778026260747,-5.178593327023624,0.9295688,14.006176983228812,0,1,142.1303870823,24.2774751303,142.130375,24.2774722,5774-56002-0950,092831.29+241638.96,14,18.929,0.026,19.407,0.016,19.407,0.016,19.739,0.024,20.012,0.098,0.024,4.0,204.6,44.5,DA,Sp,142.13037,24.27747
0.042407,142.5363621668578,24.7857795376421,645381027350695552,142.53636216686,24.78577953764,204.0818508198085,44.99430791951984,0.6876233804537103,,18.68721,-0.43475342,,-6.124982789835484,-6.97547870545881,0.9564847,13.52563465604754,0,1,142.53636216686,24.78577953764,142.536375,24.7857778,2294-53733-0245,093008.73+244708.84,16,18.114,0.016,18.887,0.023,18.887,0.023,19.294,0.031,19.622,0.061,0.025,7.6,204.1,45.0,DA,Sp,142.53637,24.78578
0.093184,147.4349386676937,21.9857315988953,640404500284710912,147.43493866769,21.9857315989,209.7748853434281,48.58346983993829,0.8559812614933672,,18.602264,-0.3773384,,1.0701878686400623,-12.143813823280087,1.0716037,14.032439484402229,0,1,147.43493866769,21.9857315989,147.4349583,21.98575,5785-56269-0732,094944.39+215908.74,14,17.925,0.02,18.855,0.017,18.855,0.017,19.197,0.019,19.338,0.059,0.028,9.8,209.8,48.6,DA,Sp,147.43496,21.98575
0.200122,138.8455250696522,16.9649776480385,631967088571209472,138.84552506965,16.96497764804,212.67904630686292,39.289553097826,1.5220689448747629,,18.77669,-0.4759426,,8.923376199372452,-12.728387909946518,0.9665197,14.734604804781966,0,1,138.84552506965,16.96497764804,138.8455,16.9650278,5307-55998-0520,091522.92+165754.14,14,18.127,0.023,19.014,0.021,19.014,0.021,19.4,0.027,19.616,0.062,0.022,10.4,212.7,39.3,DA,Sp,138.8455,16.96503
0.079191,144.9239192442775,28.1863392171498,647924541343420288,144.92391924428,28.18633921715,199.928550479246,47.81106952901281,0.8488652542587827,,19.142677,-0.467968,,-2.3161299267912776,-4.2127711563853385,1.0327269,12.552266397062166,0,1,144.92391924428,28.18633921715,144.9239167,28.1863611,5795-56298-0616,093941.74+281110.90,14,18.636,0.019,19.349,0.018,19.349,0.018,19.756,0.027,20.07,0.124,0.017,7.9,199.9,47.8,DA,Sp,144.92392,28.18636
